[*[6,10,27,114,256],[2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 0, 0, 0, 0, 2, 1, 2, 0, 0]*]
[*[5,17,23,97,220],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 1, 0, 1, 2, 0, 0]*]
[*[5,7,44,63,180],[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 2, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[6,16,27,68,256],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0]*]
[*[6,18,33,90,276],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0]*]
[*[9,17,30,77,274],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 0, 2, 1, 2, 0, 0]*]
[*[8,16,44,68,223],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0]*]
[*[5,15,38,111,200],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0]*]
[*[7,11,49,75,257],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0]*]
[*[7,13,22,85,272],[2, 2, 2, 2, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]*]
[*[5,11,35,111,265],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 2, 1, 0, 0, 1, 2, 2, 2, 0, 0]*]
[*[5,13,26,89,240],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[7,9,28,69,232],[2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[7,19,28,99,232],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[6,14,30,90,241],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[6,16,30,92,281],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 1, 2, 2, 2, 0, 0]*]
[*[7,11,49,87,267],[2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[9,17,15,113,264],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 2, 1, 0, 0, 1, 1, 2, 2, 0, 0]*]
[*[6,10,30,70,256],[2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 2, 0, 0, 0, 0, 0, 1, 2, 0, 0]*]
[*[6,24,27,104,201],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[5,11,41,115,225],[2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 1, 0, 0, 0, 1, 1, 2, 2, 0, 0]*]
[*[8,16,38,92,203],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[6,16,24,108,251],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[9,15,36,111,174],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[6,14,30,98,216],[2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0]*]
[*[8,14,47,82,233],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[8,16,32,84,243],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[5,15,35,103,285],[2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[7,9,37,89,262],[2, 2, 2, 2, 2, 2, 0, 2, 2, 1, 1, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[4,12,19,108,244],[2, 2, 2, 2, 2, 2, 1, 0, 2, 1, 1, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[6,10,30,98,221],[2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[6,16,36,100,246],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[5,13,26,113,300],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[9,13,33,85,274],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 1, 1, 2, 2, 0, 0]*]
[*[6,10,48,70,211],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[6,16,18,112,226],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[5,13,35,85,210],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[8,16,20,100,258],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[7,15,25,95,267],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[7,15,25,87,267],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[8,12,35,100,248],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[7,17,28,81,267],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[7,17,37,85,222],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[7,17,46,77,207],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[6,12,36,80,201],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[6,12,39,116,246],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 0, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[6,12,30,72,246],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[8,18,35,90,233],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[7,15,46,75,232],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[8,18,26,86,293],[2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[5,13,26,89,170],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 2, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[8,14,35,106,218],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[7,13,37,121,222],[2, 2, 2, 2, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0]*]
[*[7,17,31,109,232],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[7,15,52,75,192],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[6,12,27,76,246],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[7,15,40,107,202],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[7,13,46,81,222],[2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 0, 0, 0, 0, 1, 1, 2, 2, 0, 0]*]
[*[7,11,34,87,232],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[6,18,24,106,241],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[9,19,24,79,309],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 2, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[8,20,23,88,263],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[5,13,38,81,225],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[7,19,34,91,232],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0]*]
[*[7,11,22,71,247],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[9,21,27,77,224],[2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 0, 2, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[6,10,39,106,281],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0]*]
[*[6,14,33,114,261],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[5,9,44,89,200],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0]*]
[*[8,22,17,110,223],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[6,14,39,118,216],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[8,12,38,64,268],[2, 2, 2, 2, 2, 1, 1, 2, 1, 1, 0, 1, 0, 0, 0, 0, 2, 1, 2, 0, 0]*]
[*[5,17,11,133,270],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[7,13,61,69,202],[2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[4,14,22,114,239],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 1, 2, 2, 0, 0]*]
[*[8,12,29,92,278],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[8,16,56,52,183],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[5,11,20,123,260],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 2, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[7,19,25,91,267],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[7,21,28,105,202],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[6,10,45,70,206],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[9,11,30,79,289],[2, 2, 2, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[6,20,27,84,261],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[8,14,17,82,303],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[5,13,35,109,215],[2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 0, 2, 1, 1, 2, 0, 0]*]
[*[8,12,35,112,243],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[7,23,28,99,202],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[7,15,34,87,212],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0]*]
[*[5,15,35,71,295],[2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0, 1, 0, 0, 0, 0, 2, 2, 2, 0, 0]*]
[*[4,12,10,108,239],[2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 0, 2, 0, 0, 0, 0, 2, 1, 2, 0, 0]*]
[*[7,11,43,75,242],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[6,12,42,76,251],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 1, 1, 2, 2, 0, 0]*]
[*[6,10,33,106,231],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 0, 1, 2, 2, 0, 0]*]
[*[7,19,31,99,257],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 0, 0, 2, 2, 0, 0]*]
[*[7,15,49,75,217],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 2, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[6,22,18,90,271],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[6,8,24,96,261],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 0, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[8,14,47,78,228],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 2, 0, 2, 2, 0, 0]*]
[*[8,10,44,114,243],[2, 2, 2, 2, 2, 1, 1, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]*]
[*[5,9,32,69,215],[2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 0, 1, 0, 2, 2, 0, 0]*]
[*[5,15,44,107,225],[2, 2, 2, 2, 1, 1, 0, 2, 0, 1, 1, 1, 1, 0, 0, 1, 2, 2, 2, 0, 0]*]
